order_date,late_delivery_pct,volume_index
10/11/2017,6.9,58
11/11/2017,6.6,55
12/11/2017,6.5,62
13/11/2017,9.1,71
14/11/2017,11.4,67
15/11/2017,7.4,64
16/11/2017,9.1,79
17/11/2017,10.3,67
18/11/2017,12.1,51
19/11/2017,10.2,57
20/11/2017,14.2,79
21/11/2017,19.8,81
22/11/2017,14.7,69
23/11/2017,15.7,97
24/11/2017,20,416
25/11/2017,23.2,177
26/11/2017,20.4,139
27/11/2017,21.3,143
28/11/2017,21,135
29/11/2017,20.4,114
30/11/2017,11.5,94
1/12/2017,12.4,97
2/12/2017,12.3,77
3/12/2017,11.5,82
4/12/2017,15.5,117
5/12/2017,11.5,98
6/12/2017,12.3,98
7/12/2017,12.1,81
8/12/2017,11.9,76
